,keluhan
17,saat ini ibu saya sdg proses urus surat ahli waris di lurah dari pihak sekretariat tolak karena pada buku nikah ibu saya hanya tulis usia 23 thn dasar usia dasar ucap mbah kakung yg tdk ingat thn brp putri lahir dg thn meni 1986 saat ibu rantau ke kota dan kerja untuk lengkap dokumen ibu tulis thn lahir 1967 smua dokumen yg milik tulis thn lahir 1967 nyata hal sebut masalah oleh pihak sekretariat krn usia d buku nikah tdk sesuai jika ibu lahir 1967 dan kami minta untuk rubah data kk jika saya rubah data kk arti sya hrs rubah seluruh dok sperti akte lahir ibu jga dong mohon solusi tksh
18,
19,saya mau tanya benar bagaimana prosedur untuk cari data duduk di surabaya jujur saya tidak paham dengan prosedur seperti apa tadi siang saya datang dispendukcapil tunggu kurang lebih 1 jam tengah lalu surat antar saya dari kampus kembali dan suruh datang ke bakesbang tanpa beri tau apapunlanjut saya langsung ke bakesbang nyampai sana data suruh tulis buku tamu seperti biasa gak tunggu waktu lama ibu yang ada sana bilang mbak mau apa sontak saya kaget dan jawab mau minta data duduk remaja di surabaya buibu itu langsung jawab mana proposal fyi saya bener2 gak paham kalo suruh bawa proposal skripsi dan gak tau soal prosedurnyayang saya keluh kenapa gaada pemberitahuan tulis tentang prosedur minta izin dari bakesbang minimal bekerjasama lah dengan dispendukcapil jugaa agar masyarakat khusus mahasiswa jadi paham dan tidak membuang2 waktudan yang saya keluh juga adalah sikap dari ibu di bakesbang sangat tidak ramah maybe memang suasana hati lagi tidak bagus tapi bukankah kalo kita kerja harus profesional ya tidak boleh campur urus pribadi dengan kantor entah tapi yang pasti saya sangat keluh itu
20,selamat siang saya mau tanya untuk portal ssw surabaya go id kenapa ganti dg bkd kota surabaya di hari minggu 10 03 2019 pukul 13 07 wib ini nama hambat isi formulir perizininan yang besok bisa langsung tumpuk di uptsa jadi harus molor lagi terima kasih
21,
22,selamat pagi media centermau tanya kalau mohon pasang lpju untuk lingkung rt itu aju harus ditandatangani oleh jabat siapa saja ya terimakasih
23,
24,di depan rumah saya itu kadang kadang selalu bakar bakar saya tidak tau itu apa yang bakar tetapi asap itu bagi saya ganggu apalagi saya punya riwayat sakit asma terima kasih
25,hubung dengan keluh yg sya input bbrpa hari yg lalu pada layan camat wonokromo hari ini sya dtang kesana untuk tanya pada bapak wisnu perihal kk saya karna pada hari belum beliau sedang rapat dan alhamdulillah bpk wisnu sangat bantu saya sangat syukur dan harap banyak jabat layan publik yg amanah dan bantu masyarakat bagaimana bpk wisnu sekali lagi saya ucap trimakasih pada bpk wisnu yg sangat baik dan bantu warga
26,saya mau update kartu keluarga model baru tambah kolom golong darah dan tanggal nikah di camat kenapa kok harus bawa antar rt rw lurah ya padahal data tsb tidak kait dengan rt dan rw
27,apa kah rsud dr soewandi paham betul tentang sakit tular yg harus nya tdk di satu dgn sakit yg tdk menularkakek saya harus opnam karena sakit jantung kakek saya ada di klas 1 dgn isi 2 orangsaat pertama masuk kamar posisi nya masih kosong tp jam 10 malam ada pasien baru dgn sakit batuk2 muntah mencret bukan nya semua itu ciri2 sakit tular knapa pasien dgn sakit jantung bisa di satu dgn pasien yg dgn sakit tular padahal masih banyak kamar yg kosong di klas 1
28,selamat pagi saya mau laku rekam data e ktp di kantor camat jambang di undang tulis buka kantor hari sabtu jam 8 tapi hingga jam 10 masih tunggu tugas rekam masih belum datang padahal sudah banyak orang yang antri untuk laku rekam mohon instruksi kepada tugas agar datang tepat waktu terima kasih
29,slanat siang mau tanya saudara saya alamat rumah giri keluran giri kec mampir mau obat puskesmas giri dekat rumah sedang faskes bpjs pbinya klampis ngasem sangat jauh apa boleh obat dengan bpjs sebut klao tidak bisa minta solusi
30,ada beberapa hal lagi yang hendak saya tanya kait pajak terang jalan jika genset yang kami guna milik pasang meter apakah tetap guna rumus yang sama daya x waktu x tarif x pajak untuk genset yang guna meter apakah untuk panas juga kena pajak terang jalan bukankah yang jadi obyek pajak terang jalan sesuai pasal 31 ayat 2 perda no 4 tahun 2011 adalah guna tenaga listrik mana dalam aktivitas panas genset harus tidak ada tenaga listrik yang guna karena tenaga yang guna adalah dari bahan bakar solar bukan tenaga listrik mohon info terima kasih
31,e100ss min numpang tanya untuk urus pinjam ruang publik balai pemuda surat izin aju ke mana ya terima kasih
32,sapawargasby e100ss mohon bantu informasi lur bgm syarat urus surat akte lahir yang hilang terima kasih
33,selamat siang sapawargasby polrestabessby e100ss apakah counter polrestabes sby di siola layan panjang skck syarat apa saja thx
34,sapawargasby selamat siang min sy mw tanya kalau utk urus panjang siup domisili srbya sy bisa urus online mana mksih sblumnya
35,kemi sewa di ruko permata bintoro kav 25-26 surabaya tetapi rt rw tempat knp sulit kami saat kami mau urus surat ijin domisili usaha padahal kami buat surat domisili usaha sebut untuk perlu urus perijinan yg lain jaman spt saat ini harus mudah untuk laku usaha spt kami knp ini banyak pungut yg hrs kami bayar untuk biaya bersih dan aman ruko 450rb untuk rt bersih 250rb untuk rw surat domisili usaha untuk 6 bulan 75rb untuk 1 tahun 150rbpadahal kami tanya ke toko lain di tempat2 lain tdk ada pungut sama sekali mohon klarifikasi dari pihak2 kait naik banyak pungut ini
36,kepada puskesmas kalirungkutsaya sdh bbrp hari belum daftar online agar dapat nomor antri awal no 13 pada hari h saya datang ke puskesmas untuk layan kia pada nyata nomor2 besar atas saya panggil duluan yg selisihny dua kali lebih nomor saya sempet saya tanya ke tugas benar nomor saya ada tapi tidak urut sesuai dg nomor antri harus jd tanya apa fungsi nomor antri daftar terima kasih
37,untuk rusun bandarejo-sememi kok belum ada blc nya lur
38,e100ss banggasurabaya apa cuma saya yg kalo ke taman flora kasi karcis parkir tera rp 1000 tapi minta bayar 3ribu trus pas pulang karcis minta balik sama tukang parkir sabtu pagi 23 feb 2019 sekitar jam 10-an
39,min mau tanya buat kk di camat berapa lama ya terus bisa proses buat ktp baru apa bisa langsung telah kk jadi sapawargasby
40,selamat pagi saya nurfadillah dari pulo wonokromo saya sangat kecewa dengan layan administrasi di lurah wonokromo tanggal 20 februari saya urus administrasi kependudukandi lurah wonokromo dengan tani oleh kakak saya di sana kami sambut dengan bahasa yang sangat ketus oleh tugas dan di suruh tunggu di serambi depan pelaayanan pun pindah di serambi depan kami sudah tunggu lama tapi malah orang yang baru saja datang langsung layan mohon maaf tanpa sengaja saya perhati tugas sebut nyata masih ada minta dan beri uang jasa agar proses urus administrasi cepat selesai dan karena lama saya mohon izin untuk numpang ke toilet kaget saya bukan kepalang panjang jalan menujuntoilet kotor sekali dan ruang belah toilet pun juga sangat kotor dan bau layak kadang tikus tambah dengan ada gantung celana dan baju di bagi sisi mohon kondisi ini segera baik atau pihak tin kota surabaya sering turun di tingkat kelurahanuntuk pantau layan langsung agar masyarakat bisa layan dengan baik tidak hanya yang beri uang jasa yang bisa proses dengan cepat dan bersih kantor lurah juga perlu perhati saya sudah coba lapor pada tanggal 21 februari 2019 lalu sms center tapi belum dapat tangan sampai saat ini berkas duduk saya juga belum selesai
41,mohon maaf saya udh kesal dengan ada nya layan perintah yg sangat lelet saya aju buat ktp adik saya yg cacat pada tgl 13-2-19 sampai saat ini blm ada tugas yg hubung dengan layan sebut udh lebih dari 1minggu
42,e100ss temu paku cecer di jl ahmad yani depan nissan belum indomaret posisi teman saya dari sby tuju sidoarjo yg bisa teman saya laku hanya selamat paku yg ada di ember paku yg di aspal blm bisa teman saya selamat karena batas 30 menit lalu
43,saya ingin tanya berapa lama standar waktu untuk urus surat pindah antar camat ini istri saya urus surat dari camat sawah ke rungkut dari camat sawah beri waktu lama 10 hari kerja apakah benar butuh waktu 10 hari kerja untuk buat surat antar pindah padahal di camat rungkut tanya butuh waktu hanya 3 hari kerja kenapa di camat sawah 10 hari kerja lama sekali layan yang beri dan kes tidak ramah mohon tanggap terima kasih
44,sapawargasby untuk tahun ini festival ogoh-ogohnya masih ada di pura segara kenjeran min
45,lapor mohon ktp ini di cek benar karena pakai alamat saya dan dalam rumah saya tidak ada yg nama tsb masuk di dalam kartu keluarga tidak ada yg nama sebut mohon tindak lanjut dan laku periksa lebih lanjut terimakasih masuk untuk alamat masjid di jalan simorejo timur dalam papan alamat nya guna alamat saya mohon direspon segera krn banyak org dan tugas pos dll salah alamat kermh saya
46,selamat pagi saya agung budi prastya warga dupak surabaya saya mau tanya perihal daftar online di puskesmas dupak surabaya telah selesai daftar online muncul nomor antri serta tgl waktu tetapi sampai lebih waktu yg tera di nmr antri online saya belum juga dapat panggil bahkan sampai jam 08 20 nmr antri msh bawah 50 mohon segera ditindaklanjuti ke pihak kait karena waktu sangat harga buat saya terima kasih
47,e100ss sapawargasby banggasurabaya antri di puskesmas pakis dr jam 8 sampe skr blm panggil nyata dokter bkia ada 2 pada ga masuk semua nya ga ada alih ke dokter umum jd numpuk pasien nya
48,mohon info alamat dinsos kota surabaya e100ss banggasurabaya sapawargasby satpolppsby
49,sapawargasby lampu tl di tiga tanjung sari mati alias tidak nyala tolong segera di baik bahaya https t co jsfmyidrbp
50,e100ss rambu penyebrangn arah jalan pucang anom timur arah ngagel suara teot gak bunyi nih membahayakn guna
51,saya baru tahu kalau akte lahir anak saya yg pertama nyata salah di akte sebut sebut kalau dia adalah anak dua akte sebut buat oleh dispenduk pd thn 2015 dan di tgl 12 februari 2019 kemarin saya datang ke dispenduk untuk rubah akte lahir sesuai dgn urut yg benar selain itu kk yang telah baru dengan masuk nama anak dua juga alami salah yaitu anak saya yg pertama ada masuk dua kali dengan nik yang beda akhir saya jg laku hapus salah satu nik nya pd tgl 21 feb 2019 kemarin sy janji untuk bisa ambil akte lahir yg telah rubah tp sampa sana nyata yg rubah hanya nik nya saja dlm akte sedang urut anak saya tetap jadi anak dua saya lsg suruh ke lantai 3 temu dengan tugas sana setelab ketemu dia aku salah yg hanya rubah nik nya saja tp tdk urut anak maka saya suruh kembali lg hari ini tgl 22 feb 2019 sudah janji jam 9 atau 10 pagi saya dtg pukul tengah 10 temu dengan tugas dan sampai bahwa akte lahir blm tanda tangan kadiv lantaa saya tanya mau nunggu atau mungkin kembali besok saya bener2 sangat kecewa dan marah dengan cara kerja yg tidak ada tgg jwbnya warga sdh rugi banyak krn salah dispenduk yg salah siapa yg repot siapa untuk ongkos saja pp sudah 50rb saya keluar belum fotocopy dan beli materai belum ongkos ambil pp sdh 20rb hari ini pun sdh 30rb lantas masih juga saya suruh kembali krn ketidaktelitian tugas akhir saya minta solusi kirim saja aktenya kl sdh jadi krn saya ga mau lg bolak balik ke dispenduk dgn info yg ga jelas tugas dalih atas yg salah dia hanya bagi ngeprint justru dia yg salah krn pasti final ada di dia harus kan cek n ricek krn lampir saja dengan catat rubah yg sama ada 4 kok ya masih saja salah alas banyak kerja bukan alas buat saya saya jg kerja bagai sekretaris yg biasa segala cek dan ricek kerja banyak juga biasa tp tetap tgg jwb krn layan khalayak banyak saya mohon bisa baik sistem yg axa juga sdm nya banyak supaya tdk lg ada kesalahan2 yg ga penting yg rugi warga terima kasih atas perhati moga keluh dan masuk saya bisa bantu surabaya jadi kota yg milik kualitas tinggi dalam layan hadap warga
52,suroboyo bus apa sdh bisa bayar pake e-money repot jg kalo mau ke mall mesti bawa2 botol plastik e100ss pemkotsurabaya
53,kepada direksi rs william booth surabayatolong dr nyoman sri kencana dewi spkfr bimbing lagi cara komunikasi dokter tapi omong kayak preman stres saudara saya bentak bentak dan katai muka judes padahal saudara saya sudah tua mana etika dengan orang tua walaupun itu pasien baru kali ini saya lihat ada dokter kasar itu dengan pasien saudara saya sampai nang keluar ruang periksa dan suster hanya bilang sabar ya bu mungkin suster sudah tau kalau tabiat dokter nya seperti itu mohon perhati dengan benar dokter satu itu
54,saya mau tanya untuk urus akta lahir bayi baru lahir apakah ada batas minimumnyaini soal tadi saya mau minta surat antar dari rt rw di kasik tau kalau tidak bisa urus akta lahir kalau belum umur 40 harisedangkan bayi saya saat ini masih umur 3 harimohon info
55,min klo ktp rusak syarat cetak ulang apa sama dengan ktp hilang
56,saya ingin keluh masalah parkir di area jl dharmahusada di area jalan sebut dapat banyak rambu larang parkir dan di depan kantor saya tidak ada larang rambu apabila ada tindak larang turut dishub kenapa kami yang area kantor tidak beri sosialisasi atau pemberitahuan lebih dahulu kenapa langsung tilang dan kalau kami tidak turut langsung gembok ban telah selesai tilang baru kami diberitahu untuk urus aju parkir isidentil di jalan kenapa sistem dishub seperti itu mobil semua di kantor kena tilang rp 80 000 - dan belum saya juga pernah tanya ke dishub ttg area parkir khusus di jl dharmahusada tapi tidak pernah ada tanggap solusi dari dishub sendiri jika dishub memang ingin jalan bebas parkir seprti jalan di daerah adityawarman atau mayjen sungkono tolong kami beri tempat parkir seperti di jalan sebut kalau tidak ada area parkir khusus seperti di jl adityawarman atau mayjen sungkono maka kami mau parkir mana thanks
57,ktp el ku sudah banyak yg ga jelas tulis nya apa bisa cetak lagi min banggasurabaya sapawargasby dan bgm prosedur nya mohon info nya trmksih
58,sapawargasby halo camat rungkut ektp saya kok belum jadi hehe udah dari hari sabtu ngajuinnya kan hilang cuma cetak ulang hehe emang harus berapa lama yaaa
59,selamat sore sapawargasby bisa bantu kirim list alamat kantor uptb layan pajak daerah surabaya yg baru terimakasih
60,e100ss ada lubang yg sangat dalam di tl kapuas - ry darmo seperti ambles sisi box cluvert bbrp r2 sempat oleng stlh terjerembab mhn perhati dinas kait
61,moga pagar dan plengsengan kali yang rusak kena pohon tumbang di jl ar hakim dekat bengkel motor nogo baru klampis ngasem ini lekas baik sapawargasby
62,slmt siang mediacenter surabaya kami ingin lapor kami dari kantor yg sewa buah ruko di jl ngagel jaya selatan no 169 a n dahayu leasure biro jalan masalah ada oknum parkir liar tanpa pakai seragam rompi resmi dari pemkot dishub mohon di tindak lanjut dan jur parkir tersebug sempat minta uang bulan untuk aman parkir besar rp 500 000 bulan tapi kami tolak dan tdk hanya itu juru parkir sering pinta uang parkir tamu karyawan kami yg bawa mobil padahal kami sudah sewa ruko ini jadi otomatis kami ada hak atas halaman depan ruko yg kami sewa ini tanpa harus bayar iur parkir karena ruko yg kami sewa adalah ruko orang pribadi tolong pak tindak lanjut masalah parkir liar ini jl ngagel jaya selatan 169 a n dahayu leasure biro jalan seberang panin bank dan samping bank india of indonesia terimakasih
63,bagaimana mekanisme untuk ada hearing dengan mang bijak di bidang didik pariwisata dinas hubung dinas pu dan atau dkrth kota surabaya karena kami dari surabaya astronomy club dan komunitas astronomi amatir lintas jawa timur ingin sampai beberapa ide dan konsep tata ruang kota kait dengan maksimal bola warna-warni di trotoar kota surabaya sekaligus urgensi bangun planetarium di jawa timur khusus di kota surabaya
64,selamat pagi saya mau tanya untuk suroboyo bus jam akhir berangkat dari unesa jam berapa ya apa jam 9 malam masih ada yang berangkat dari unesa atau belum jam 9 terimakasih mohon jelas banggasurabaya
65,lomba warna yang ada oleh camat sawah di kbs itu apakah wajib ikut oleh semua siswa paud paud di tempat putri saya kena biaya besar rp 80 000 terima kasih
66,min sapawargasby polrestabessby commandsurabaya e100ss panjang sim klo luar kota di samsat keliling mana yahh
67,sapawargasby mau tanya kalo kita pny tdp pariwisata yg akan ubah nama usaha tp jenis nya sama apa harus urus ijin baru terimakasih
68,terima kasih atas anting potong pohon yg laku tim dkrth karena menganggu kabel yg juga julur ke jalan raya jl menur pumpungan no 72
69,sapawargasby min apa bisa bikin skbm di lurah di sby tapi ktpnya luar sby jatim
70,e100ss kapan yah panjang jalan medok ayu selatan bisa di baik sm perintah makin lama makin parahhh
71,surabaya 15 februari 2019 kepada yth ibu walikota kota madya surabayahal 1 berat atas lahan fasilitas umum sarana olah raga dan sosial yang alih fungsi 2 mohon buat sarana olah raga yang permanenkami yang bertandatangan bawah ini warga jl ikan mungsing 7b lurah perak baratbersama surat ini kami aju berat atas pakai lahan yang lama puluh tahun pakai bagai fasilitas umum dan giat sosial masyarakat antara lain 1 sarana olahraga volley ball dsb 2 tempat main anak- anak3 tempat hijau lahan hijau 4 tempat raya 17 agustusan5 tempat serap air agar tidak banjir6 tempat lahan parkiryang sekarang ini telah bangun bangun tempat sebut dan guna bagai tempat parkir forklif serta bengkel baik alat berat forklift dan laundry bangun sebut diri dari mei 2016 hal ini juga tentang dengan pasal 6 undang no 51 prp tahun 1960 lahan hijau dan fasilitas olah raga fasilitas umum ini sudah guna warga sejak dari tahun 1968 kami warga sangat rasa ganggu dan berat atas giat sebut dan mohon ibu walikota surabaya dapat beri bijak untuk kembali tempat sebut sesuai dengan fungsi bagai fasilitas umumadapun lahan letak di jl ikan mungsing 7b batas batas tanah sebut 1 belah utara ikan mungsing 4 2 belah selatan kali3 belah timur gereja pantekosta4 belah barat salur got air ke kali5 luas tanah - 17x22 m2 dan untuk hindar hal rupa tidak jadi kembali dan mehindarkan remaja dari hal negatif narkoba dsb maka kami mohon juga agar ibu walikota surabaya kira kenan untuk bangun sarana olahraga cara permanen untuk masyarakat sekitar di lahan sebut demikian kami aju surat ini semata mata untuk penting warga sekitar atas perhati dan bijak ibu walikota surabaya kami ucap banyak terimakasih ttdwarga mungsing 7b
72,sapawargasby mohon info admin mau ngurus ktp rusak bukan hilang warga jember yang tinggal di surabaya butuh untuk penting daftar nidn dosen apa langsung datang ke siola terima kasih
73,min untuk aju lahan lapang olah raga bagaimana ya di daerah saya kembang kuning lurah pakis camat sawah surabaya selatan ada lahan buka hijau tapi jadi lahan parkir mobil sedih bgt mohon kalau ada masuk dengan senang hati saya terima thx
74,mhn perhati pihak kait e100ss sapawargasby commandsurabaya jqlan rusak di depan kaza city kapas krampung smakin parah mudah2an sgera baik krn selain membahayakn guna jalan juga trjadi macet krn arus lambat trma kasih
75,min kalau mau ganti e-ktp rusak gimana ya langsung ke camat atau bagaimana bawa syarat apa saja sapawargasby
76,sapawargasby min untuk informasi pemberitahuan tentang cpns pemkot surabaya kapan bisa rilis ya terima kasih
77,banggasurabaya kalau botol ukur gin butuh berapa botol untuk bisa naik bus surabaya
78,sapawargasby operasional panjang sim di siola jam brp ya
79,salam dulur sapawargasby commandsurabaya saya hnya mmbntu beri informasi saja ada jalan brlubang di depan pintu masuk kaza city kapas krampung mhn prhatiannya trma kasih
80,sapawargasby di jl platuk donomulyo lebar dari ujung jembatan pogot sampai jembatan tanah merah banyak yang mati lampu
81,potong pohon di jalan manyar seperti sudah 3 hr lebih belum ambil tugas bersih surabaya e100ss
82,mohon pihak kait segera benah jalan lubang di jalan dharmahusada arah tl unair kampus c banyak yg cukup besar bahaya guna jalan utama r2 e100ss
83,tolong bapak ibu saya masyarakat yg butuh tolong perintah slama ini saya tidak milik tempat tinggal tetap saya sering pindah dengan hasil yg minim saya mohon dengan sangat bapak ibu bisa mmbantu saya untuk bisa tempat rusun yg di sedia oleh perintah surabaya sangat besar harap saya untuk bisa mnempati fasilitas yg di sedia perintah terima kasih atas perhatianya
84,
85,sapawargasby mau tanya cara panjang siup tdp scr online gmn ya cara tks
86,tolong bapak ibu saya masyarakat yg butuh tolong perintah slama ini saya tidak milik tempat tinggal tetap saya sering pindah dengan hasil yg minim saya mohon dengan sanagat bapak ibu bisa mmbantu saya untuk bisa tempat rusun yg di sedia oleh perintah surabaya sangat besar harap saya untuk bisa mnempati fasilitas yg di sedia perintah terima kasih atas perhatianya
87,sudah dari oktober 2018 aju cetak e ktp ganti status dari tidak kawin jadi kawin dulu janji antar ke rt atau ke camat bawa tanda terima ambil e ktp saya tunggu 3 bulan kok tidak pak rt tidak ada antar e ktp akhir pada bulan januari ke camat krembangan tanya e ktp sudah cetak atau belum nyata ektp saya belum jadi malah minta fotokopi kk lagi mana pas awal saya sudah serah berkas fotokopi kk ke camat dan dulu tugas camat tidak memberitahukan jika ambil e ktp harus bawa kk bawa tanda terima sudah cukup saya kmudian suruh kembali lagi 7 hari kemudian telah itu nyata hasil nihil e ktp belum juga cetak alasanya kurir dari tugas yang di siola belum antar berkas atau apa itu ini harus bolak balik berapa kali lagi karna waktu saya tidak untuk ini saja saya juga kerja swasta yang tidak bisa waktu waktu ambil ijin terus untuk ecek e ktp saya sudah cetak belum dan saya sangat butuh e ktp saya yang baru untuk urus kartu bpjs calon bayi saya yang akan lahir 3 bulan lagi mohon jangan di rumit urusanya karna tau saya camat krembangan punya alat cetak e ktp sendiri tapi mengapa kita harus tunggu sangat lama nik 3578154412940005 a n desy mala sari
88,
89,sapawargasby min jlan depan jala jaya telah jembatan petek ada bbrpa lubang besar dn dalam bisa bantu atau saya mesti info mana
90,salam dulur sapawargasby commandsurabaya ada bbrpa jlan yg rusak lubang dan mnjdi genang air 1 ada 4-5 lubang di jl wonosari lor 2 1 lubang di jl sidotopo wetan 3 2 lubang dpan lpangan hockey dhrmawangsa 4 1 lubang di sisi timur grand city mhn perhati trims
91,e100ss sapawargasby hampir jatuh dari motor karena lubang jalan di depan ruko megah raya lubang besar belum tl sdh tambal kenapa yg di dekat tdk tambal sekali dalam juga lho
92,selamat siang mau tanya tentang syarat2 aju mohon biaya lengkap makam ada informasi kata harus ada foto atao foto kopi ktp orng yang jual lengkap makam sebut atao bagaimana yang benar
93,bagaimana cara daftar untuk tempat sewa rusanawa di jaring
