,keluhan_clean
40,sapawargasby tahun festival ogoh-ogohnya ada pura segara kenjeran min
41,lapor mohon ktp cek benar pakai alamat rumah yg nama tsb masuk kartu keluarga tidak ada yg nama sebut mohon tindak lanjut laku periksa lebih lanjut terimakasih masuk alamat masjid di jalan simorejo timur dalam papan alamat nya alamat mohon direspon segera krn banyak org dan tugas pos salah alamat kermh
42,selamat pagi agung budi prastya warga dupak surabaya mau tanya perihal daftar online puskesmas dupak surabaya selesai daftar online muncul nomor antri tgl waktu lebih waktu yg tera nmr antri online belum dapat panggil bahkan sampai jam 08 20 nmr antri msh bawah 50 mohon segera ditindaklanjuti pihak kait waktu sangat harga buat terima kasih
43,e100ss sapawargasby banggasurabaya antri puskesmas pakis dr jam 8 sampe skr blm panggil nyata dokter bkia 2 ga masuk semua nya ga alih dokter umum jd numpuk pasien nya
44,mohon info alamat dinsos kota surabaya e100ss banggasurabaya sapawargasby satpolppsby
45,sapawargasby lampu tl tiga tanjung sari mati alias nyala segera baik bahaya https t co jsfmyidrbp
46,e100ss rambu penyebrangn arah jalan pucang anom timur arah ngagel suara teot gak bunyi nih membahayakn
47,baru tahu kalau akte lahir anak yg pertama nyata salah akte sebut sebut kalau adalah anak akte sebut buat dispenduk pd thn 2015 di tgl 12 februari 2019 kemarin datang dispenduk rubah akte lahir sesuai dgn urut yg benar itu kk baru masuk nama anak alami salah anak yg pertama masuk kali nik beda akhir jg laku hapus salah satu nik nya pd tgl 21 feb 2019 kemarin sy janji ambil akte lahir yg telah rubah tp sampa sana nyata yg rubah nik nya dlm akte sedang urut anak tetap jadi anak lsg suruh lantai 3 temu tugas sana setelab ketemu aku salah yg rubah nik nya tp tdk urut anak suruh lg hari tgl 22 feb 2019 janji jam 9 10 pagi dtg pukul tengah 10 temu tugas sampai akte lahir blm tanda tangan kadiv lantaa tanya mau nunggu mungkin besok bener2 sangat kecewa marah cara kerja yg tgg jwbnya warga sdh rugi banyak krn salah dispenduk yg salah siapa yg repot siapa ongkos pp 50rb keluar fotocopy beli materai ongkos ambil pp sdh 20rb hari pun sdh 30rb lantas suruh krn ketidaktelitian tugas akhir minta solusi kirim aktenya kl sdh jadi krn ga mau lg bolak balik dispenduk dgn info yg ga jelas tugas dalih atas yg salah hanya ngeprint justru yg salah krn final di harus kan cek n ricek krn lampir dengan catat rubah yg sama 4 kok masih salah alas banyak kerja bukan alas buat saya jg kerja bagai sekretaris yg biasa segala cek ricek kerja banyak juga biasa tp tetap tgg jwb krn layan khalayak banyak saya mohon bisa baik sistem yg axa juga sdm nya banyak tdk lg ada kesalahan2 yg ga penting yg rugi warga terima kasih atas perhati moga keluh masuk saya bisa bantu surabaya jadi kota yg milik kualitas tinggi layan hadap warga
48,suroboyo bus apa sdh bayar pake e-money repot jg kalo mau mall mesti bawa2 botol plastik e100ss pemkotsurabaya
49,direksi rs william booth surabayatolong dr nyoman sri kencana dewi spkfr bimbing cara komunikasi dokter omong kayak preman stres saudara bentak bentak katai muka judes padahal saudara tua mana etika orang tua walaupun pasien baru kali lihat dokter kasar pasien saudara saya sampai nang keluar ruang periksa suster bilang sabar bu mungkin suster sudah tau kalau tabiat dokter nya mohon perhati dengan benar dokter satu itu
50,mau tanya urus akta lahir bayi baru lahir ada batas minimumnyaini soal tadi mau minta surat antar rt rw kasik tau kalau bisa urus akta lahir kalau umur 40 harisedangkan bayi saat masih umur 3 harimohon info
51,min klo ktp rusak syarat cetak ulang apa sama ktp hilang
52,keluh masalah parkir area jl dharmahusada area jalan sebut banyak rambu larang parkir depan kantor larang rambu apabila tindak larang turut dishub area kantor beri sosialisasi pemberitahuan lebih langsung tilang kalau tidak turut langsung gembok ban selesai tilang baru kami diberitahu urus aju parkir isidentil jalan kenapa sistem dishub itu mobil semua kantor kena tilang rp 80 000 - belum juga pernah tanya dishub ttg area parkir khusus jl dharmahusada tidak pernah tanggap solusi dishub sendiri dishub memang ingin jalan bebas parkir seprti jalan di daerah adityawarman mayjen sungkono kami beri tempat parkir di jalan sebut kalau tidak ada area parkir khusus di jl adityawarman mayjen sungkono kami mau parkir mana thanks
53,ktp el ku banyak yg ga jelas tulis nya apa cetak min banggasurabaya sapawargasby bgm prosedur nya mohon info nya trmksih
54,sapawargasby halo camat rungkut ektp kok jadi hehe udah hari sabtu ngajuinnya kan hilang cuma cetak ulang hehe emang berapa lama yaaa
55,selamat sore sapawargasby bantu kirim list alamat kantor uptb layan pajak daerah surabaya yg baru terimakasih
56,e100ss lubang yg sangat di tl kapuas - ry darmo ambles sisi box cluvert bbrp r2 sempat oleng stlh terjerembab mhn perhati dinas kait
57,moga pagar plengsengan kali rusak kena pohon tumbang jl ar hakim dekat bengkel motor nogo baru klampis ngasem lekas baik sapawargasby
58,slmt siang mediacenter surabaya ingin lapor kantor yg sewa buah ruko jl ngagel jaya selatan no 169 a n dahayu leasure biro jalan masalah oknum parkir liar pakai seragam rompi resmi dari pemkot dishub mohon tindak lanjut jur parkir tersebug sempat minta uang bulan aman parkir besar rp 500 000 bulan tolak tdk itu juru parkir sering pinta uang parkir tamu karyawan yg bawa mobil padahal sudah sewa ruko jadi otomatis ada hak atas halaman depan ruko yg sewa tanpa bayar iur parkir ruko yg kami sewa ruko orang pribadi pak tindak lanjut masalah parkir liar jl ngagel jaya selatan 169 a n dahayu leasure biro jalan seberang panin bank samping bank india of indonesia terimakasih
59,bagaimana mekanisme ada hearing mang bijak bidang didik pariwisata dinas hubung dinas pu atau dkrth kota surabaya kami surabaya astronomy club komunitas astronomi amatir lintas jawa timur sampai beberapa ide konsep tata ruang kota kait maksimal bola warna-warni trotoar kota surabaya sekaligus urgensi bangun planetarium jawa timur khusus kota surabaya
60,selamat pagi mau tanya suroboyo bus jam akhir berangkat unesa jam berapa apa jam 9 malam ada berangkat unesa belum jam 9 terimakasih mohon jelas banggasurabaya
61,lomba warna ada camat sawah kbs apakah wajib ikut semua siswa paud paud tempat putri kena biaya besar rp 80 000 terima kasih
62,min sapawargasby polrestabessby commandsurabaya e100ss panjang sim klo luar kota samsat keliling mana yahh
63,sapawargasby mau tanya kalo pny tdp pariwisata yg ubah nama usaha tp jenis nya sama apa urus ijin baru terimakasih
64,terima kasih atas anting potong pohon yg laku tim dkrth menganggu kabel yg julur jalan raya jl menur pumpungan no 72
65,sapawargasby min apa bikin skbm lurah sby ktpnya luar sby jatim
66,e100ss kapan yah panjang jalan medok ayu selatan di baik sm perintah makin lama makin parahhh
67,surabaya 15 februari 2019 yth ibu walikota kota madya surabayahal 1 berat atas lahan fasilitas umum sarana olah raga sosial alih fungsi 2 mohon buat sarana olah raga permanenkami bertandatangan bawah warga jl ikan mungsing 7b lurah perak baratbersama surat aju berat atas pakai lahan lama puluh tahun pakai bagai fasilitas umum giat sosial masyarakat lain 1 sarana olahraga volley ball 2 tempat main anak- anak3 tempat hijau lahan hijau 4 tempat raya 17 agustusan5 tempat serap air banjir6 tempat lahan parkiryang sekarang telah bangun bangun tempat sebut bagai tempat parkir forklif bengkel baik alat berat forklift laundry bangun sebut diri mei 2016 tentang pasal 6 undang no 51 prp tahun 1960 lahan hijau fasilitas olah raga fasilitas umum sudah guna warga sejak tahun 1968 warga sangat rasa ganggu berat atas giat sebut mohon ibu walikota surabaya beri bijak tempat sebut sesuai fungsi bagai fasilitas umumadapun lahan letak jl ikan mungsing 7b batas batas tanah sebut 1 belah utara ikan mungsing 4 2 belah selatan kali3 belah timur gereja pantekosta4 belah barat salur got air kali5 luas tanah - 17x22 m2 hindar rupa tidak jadi kembali mehindarkan remaja hal negatif narkoba maka mohon agar ibu walikota surabaya kira kenan bangun sarana olahraga cara permanen masyarakat di lahan sebut kami aju surat ini semata mata untuk penting warga atas perhati dan bijak ibu walikota surabaya kami ucap banyak terimakasih ttdwarga mungsing 7b
68,sapawargasby mohon info admin mau ngurus ktp rusak bukan hilang warga jember tinggal surabaya butuh penting daftar nidn dosen apa langsung datang siola terima kasih
69,min aju lahan lapang olah raga bagaimana di daerah kembang kuning lurah pakis camat sawah surabaya selatan lahan buka hijau jadi lahan parkir mobil sedih bgt mohon kalau masuk senang hati terima thx
70,mhn perhati pihak kait e100ss sapawargasby commandsurabaya jqlan rusak depan kaza city kapas krampung smakin parah mudah2an sgera baik krn membahayakn jalan trjadi macet krn arus lambat trma kasih
71,min kalau mau ganti e-ktp rusak gimana langsung camat bagaimana bawa syarat apa sapawargasby
72,sapawargasby min informasi pemberitahuan cpns pemkot surabaya kapan rilis terima kasih
73,banggasurabaya kalau botol ukur gin butuh berapa botol bisa naik bus surabaya
74,sapawargasby operasional panjang sim siola jam brp
75,salam dulur sapawargasby commandsurabaya hnya mmbntu beri informasi ada jalan brlubang depan pintu masuk kaza city kapas krampung mhn prhatiannya trma kasih
76,sapawargasby jl platuk donomulyo lebar ujung jembatan pogot jembatan tanah merah banyak mati lampu
77,potong pohon jalan manyar sudah 3 hr lebih ambil tugas bersih surabaya e100ss
78,mohon pihak kait segera benah jalan lubang jalan dharmahusada arah tl unair kampus c banyak yg cukup besar bahaya jalan utama r2 e100ss
79,bapak ibu masyarakat yg butuh perintah slama milik tempat tinggal tetap sering pindah hasil yg minim mohon sangat bapak ibu mmbantu untuk tempat rusun yg sedia perintah surabaya sangat besar harap saya untuk mnempati fasilitas yg sedia perintah terima kasih atas perhatianya
80,sapawargasby mau tanya cara panjang siup tdp scr online gmn cara tks
81,bapak ibu masyarakat yg butuh perintah slama milik tempat tinggal tetap sering pindah hasil yg minim mohon sanagat bapak ibu mmbantu untuk tempat rusun yg sedia perintah surabaya sangat besar harap saya untuk mnempati fasilitas yg sedia perintah terima kasih atas perhatianya
82,oktober 2018 aju cetak e ktp ganti status kawin jadi kawin dulu janji antar rt camat bawa tanda terima ambil e ktp tunggu 3 bulan kok pak rt ada antar e ktp akhir bulan januari camat krembangan tanya e ktp cetak nyata ektp jadi malah minta fotokopi kk mana pas awal serah berkas fotokopi kk ke camat dulu tugas camat tidak memberitahukan ambil e ktp bawa kk bawa tanda terima sudah cukup kmudian suruh 7 hari kemudian nyata hasil nihil e ktp cetak alasanya kurir dari tugas siola belum antar berkas apa itu ini bolak balik berapa kali karna waktu tidak ini juga kerja swasta tidak waktu waktu ambil ijin terus ecek e ktp sudah cetak belum dan sangat butuh e ktp yang baru urus kartu bpjs calon bayi yang lahir 3 bulan lagi mohon jangan di rumit urusanya karna tau saya camat krembangan punya alat cetak e ktp sendiri mengapa harus tunggu sangat lama nik 3578154412940005 a n desy mala sari
83,sapawargasby min jlan depan jala jaya jembatan petek bbrpa lubang besar dn bisa bantu saya mesti info mana
84,salam dulur sapawargasby commandsurabaya bbrpa jlan yg rusak lubang mnjdi genang air 1 4-5 lubang jl wonosari lor 2 1 lubang jl sidotopo wetan 3 2 lubang dpan lpangan hockey dhrmawangsa 4 1 lubang sisi timur grand city mhn perhati trims
85,e100ss sapawargasby hampir jatuh motor lubang jalan depan ruko megah raya lubang besar tl sdh tambal yg dekat tdk tambal sekali juga lho
86,selamat siang mau tanya syarat2 aju mohon biaya lengkap makam informasi kata ada foto atao foto kopi ktp orng jual lengkap makam sebut atao bagaimana benar
87,bagaimana cara daftar tempat sewa rusanawa jaring
88,prihal sering tutup jalan hajat jl wonorejo raya jelidro barat area manuk surabaya barat prihal kena keluh kena sering nya tutup jalan area wonorejo raya jelidro barat daerah manuk acara hajat nikah acara hajat pribadi sangat keluh warga sana acara hajat main enak tutup jalan buat panggung kami masyarakat area sana alih lalu jalan kampung penting acara pribadi semata pikir jalan wilayah merekasaya pernah coba tanya punya ijin tutup jalan jawab ijin polisi polsek polres area sebut jadi tanda tanya mereka punya ijin polisi pernah satu tugas polisi turun sana acara hajat sebut curiga mereka dapat ijin cuman bohong jadi tugas sana hansip semata sangat sayang kalau jalan utama akses hubung manuk tuju mall ptc jalur padat ramai main enak tutup hitung hampir tiap bulan ada hajat tempat sebut main tutup padahal jalan sebut bukan hakwilayah mereka lain hak seluruh masyarakat surabaya telah bayar pajak tertib nikmat fasilitas jalan sebut itu bukan jalan kampungtetapi jalan umumkejadian akhir isteri mau pulang tuju rumah kontra lewat jalan sebut jalan kaki gendong anak bayi 7bulan taxi online lewat tutup ada hajatant akhir istri orang tua lansia jalan kaki tuju kontra rumah jauh kurang lebih 500metersambil gendong bayi jadi sebut jadi tanggal 9 februari 2019 kemarin harap kira pemkot surabaya ambil tindak disipilin tegas masyarakat tutup jalan enak lebih jalan itu jalan utama lalu kendara utama wilayah manuk yaitu yang sering jadi jl wonerojo raya je lidro barat kira polsek polres wilayah sebut beri ijin acara hajat pribadisaya yakin sekali kalau warga area manuk banyak yang keluh protes jika jalan area sebut tutup yang hampir tiap bulan selalu saja ada tutup jalan karena ada hajat mereka tahu adu mana warga manuk tahu lapor mana apa area manuk area yang padat duduk dan padat kendaraanterlebih jalan sebut adalah akses hubung tuju mall ptc mohon kira pemkot surabaya perhati prihal karena sangkut hak hak jalan warga masyarakat surabaya polisi perhati ini terima kasih atas perhati
89,berapa biaya resmi urus shm kota surabaya informasi di terima orang tua tidak akurat yang kata murah ada yang kata mahal mohon informasi terima kasih
90,mohon batu ke dinas kait kena lapu pju panjang jl ploso timur 3a mati 2 hari e100ss sapawargasby
91,min mau daftar e-health ga bisa2 nih error
92,mohon perhati tindak nyata pihak kait tertib bangun liar panjang jalan simogunung kasihan nasib milik rumah ruko depan tutup bangun liar makin kumuh mohon kalau segera tindak lanjut bangun jalan kembar sesuai rencana tata kota terimakasih
93,bpjs pbi nya orang sudah selesai
94,sedang luar kota rencana domisili luar kota klo mau pindah sini apa harus ngurus sby dulu
95,sapawargasby karamg asem akses utama jalan berlobang2 tambah parah di tambal lama depan alfamart 100 meter rusak
96,sapawargasby commandsurabaya e100ss salur air depan kantor pgngagas jl ratna sdh lama genang lutut jentik sdh mulai banyak minta tim pematusan utk lancar alir krn depan gudang pdamsurabaya tdk genang cegahdbd
97,salam dulur sapawargasby commandsurabaya belah depan alfamart kapasari lubang yg sgt ganggu pngguna jalan khusus roda mhn prhatiannya trima kasih
98,e100ss min tanya dong kalau mau bikin ktp baru ktp lama rusak siola ktp luar kota kah makasih
99,assalamu alaikum pagi e100ss sapawargasby daftar ssw hari sabtu selesai isi form reg sesuai presedur email dah 3 jam no reply email apa krn sabtu libur mohon info tq wassalamu alaikum
100,mohon tunjuk cara urus baru kk karna rusak tidak baca kena air
101,milik bisnis kapal kayu wisata bisa pakai sungai d surabaya lewat belah monkasel itu perijinan apa ya yang butuh hubung dinas apa yang kait d tanggap sapawargasby ticsby
102,salah satu lampu pju gang yang sering mati hidup
103,sapawargasby karang asem aspal rusak parah tlg tambal depan alfa mart bahaya
104,e100ss kemarin tgl 4 mau urus surat domisli usaha lewat rt minta biaya besar 1jt rupiah adu ini siapa tolong info
105,bagaimana cara bantu bpnt perintah
106,e100ss sapawargasby lubang pojok jalan semutkali mohon baik terima kasih
107,e100ss tanggul sungai balongsari krajan surabaya sdh jebol akibat proyek normalisasi sungai yg perhati kuat tanggul tahan tanah mana hrs lapor masalah krn ancam longsor sisi sungai sangat besar
108,sapawargasby panjang sim luar kota sim corner tunjung plaza gak
109,ktp janji minggu kemarin d cetak ulang tgl 6 februari datang masih di cetak ulang padahal janji senin tgl 4 feb 2019 sdh d cetakoleh tugas lurah keputrandan janji di cetak pada tgl 7 feb 2019
110,sapawargasby syarat ubah nama ayah salah ketik akta lahir apa dan bagaimana
111,oktober 2018 aju cetak e ktp ganti status kawin jadi kawin dulu janji antar rt camat bawa tanda terima ambil e ktp tunggu 3 bulan kok pak rt ada antar e ktp akhir bulan januari camat krembangan tanya e ktp cetak nyata ektp jadi malah minta fotokopi kk mana pas awal serah berkas fotokopi kk ke camat dulu tugas camat tidak memberitahukan ambil e ktp bawa kk bawa tanda terima sudah cukup kmudian suruh 7 hari kemudian nyata hasil nihil e ktp cetak alasanya kurir dari tugas siola belum antar berkas apa itu ini bolak balik berapa kali karna waktu tidak ini juga kerja swasta tidak waktu waktu ambil ijin terus ecek e ktp sudah cetak belum dan sangat butuh e ktp yang baru urus kartu bpjs calon bayi yang lahir 3 bulan lagi mohon jangan di rumit urusanya karna tau saya camat krembangan punya alat cetak e ktp sendiri mengapa harus tunggu sangat lama
